000	NOU(type=common,number=sg,inflection=0)	pos=N,feat.getal=ev	zelfstandig naamwoord enkelvoud, geen uitgang
001	NOU(type=common,number=sg,inflection=e)	pos=N,feat.getal=ev,feat.form=-e	zelfstandig naamwoord enkelvoud, uitgang -e
002	NOU(type=common,number=sg,inflection=s/th)	pos=N,feat.getal=ev,feat.form=-s/-th	zelfstandig naamwoord enkelvoud, uitgang -s/-th
003	NOU(type=common,number=sg,inflection=t)	pos=N,feat.getal=ev,feat.form=-t	zelfstandig naamwoord enkelvoud, uitgang -t
004	NOU(type=common,number=sg,inflection=n)	pos=N,feat.getal=ev,feat.form=-n	zelfstandig naamwoord enkelvoud, uitgang -n
005	NOU(type=common,number=sg,inflection=r/re)	pos=N,feat.getal=ev,feat.form=-r/-re	zelfstandig naamwoord enkelvoud, uitgang -r/-re
006	NOU(type=common,number=sg,inflection=a)	pos=N,feat.getal=ev,feat.form=-a	zelfstandig naamwoord enkelvoud, uitgang -a
009	NOU(type=common,number=sg,inflection=other)	pos=N,feat.getal=ev,feat.form=unclear	zelfstandig naamwoord enkelvoud, uitgang latijn, onduidelijk of evident fout geschreven
010	NOU(type=common,number=pl,inflection=0)	pos=N,feat.getal=mv	zelfstandig naamwoord meervoud, geen uitgang
011	NOU(type=common,number=pl,inflection=e)	pos=N,feat.getal=mv,feat.form=-e	zelfstandig naamwoord meervoud, uitgang -e
012	NOU(type=common,number=pl,inflection=s/th)	pos=N,feat.getal=mv,feat.form=-s/-th	zelfstandig naamwoord meervoud, uitgang -s/-th
013	NOU(type=common,number=pl,inflection=t)	pos=N,feat.getal=mv,feat.form=-t	zelfstandig naamwoord meervoud, uitgang -t
014	NOU(type=common,number=pl,inflection=n)	pos=N,feat.getal=mv,feat.form=-n	zelfstandig naamwoord meervoud, uitgang -n
015	NOU(type=common,number=pl,inflection=r/re)	pos=N,feat.getal=mv,feat.form=-r/-re	zelfstandig naamwoord meervoud, uitgang -r/-re
016	NOU(type=common,number=pl,inflection=a)	pos=N,feat.getal=mv,feat.form=-a	zelfstandig naamwoord meervoud, uitgang -a
