code	correctieJesse	correctie Thomas	correctie Jesse	omschrijving
000	NOU-C(number=sg,infl=0)			zelfstandig naamwoord enkelvoud, geen uitgang
001	NOU-C(number=sg,infl=e)			zelfstandig naamwoord enkelvoud, uitgang -e
002	NOU-C(number=sg,infl=s|th)			zelfstandig naamwoord enkelvoud, uitgang -s|-th
003	NOU-C(number=sg,infl=t)			zelfstandig naamwoord enkelvoud, uitgang -t
004	NOU-C(number=sg,infl=n)			zelfstandig naamwoord enkelvoud, uitgang -n
005	NOU-C(number=sg,infl=r|re)			zelfstandig naamwoord enkelvoud, uitgang -r|-re
006	NOU-C(number=sg,infl=a)			zelfstandig naamwoord enkelvoud, uitgang -a
009	NOU-C(number=sg,infl=other)			zelfstandig naamwoord enkelvoud, uitgang latijn, onduidelijk of evident fout geschreven
010	NOU-C(number=pl,infl=0)			zelfstandig naamwoord meervoud, geen uitgang
011	NOU-C(number=pl,infl=e)			zelfstandig naamwoord meervoud, uitgang -e
012	NOU-C(number=pl,infl=s|th)			zelfstandig naamwoord meervoud, uitgang -s|-th
013	NOU-C(number=pl,infl=t)			zelfstandig naamwoord meervoud, uitgang -t
014	NOU-C(number=pl,infl=n)			zelfstandig naamwoord meervoud, uitgang -n
015	NOU-C(number=pl,infl=r|re)			zelfstandig naamwoord meervoud, uitgang -r|-re
016	NOU-C(number=pl,infl=a)			zelfstandig naamwoord meervoud, uitgang -a
019	NOU-C(number=pl,infl=other)			zelfstandig naamwoord meervoud, uitgang latijn, onduidelijk of evident fout geschreven
020	NOU-P(infl=0)			eigennaam, geen uitgang
021	NOU-P(infl=e)			eigennaam, uitgang -e
022	NOU-P(infl=s|th)			eigennaam, uitgang -s|-th
023	NOU-P(infl=t)			eigennaam, uitgang -t
024	NOU-P(infl=n)			eigennaam, uitgang -n
025	NOU-P(infl=r|re)			eigennaam, uitgang -r|-re
026	NOU-P(infl=a)			eigennaam, uitgang -a
029	NOU-P(infl=other)			eigennaam, uitgang latijn, onduidelijk of evident fout geschreven
090	NOU-C(number=unclear,infl=0)	NOU-C(type=unclear,infl=0)	NOU-C(number=unclear,infl=0)	zelfstandig naamwoord probleemgeval, geen uitgang
091	NOU-C(number=unclear,infl=e)	NOU-C(type=unclear,infl=e)	NOU-C(number=unclear,infl=e)	zelfstandig naamwoord probleemgeval, geen uitgang
092	NOU-C(number=unclear,infl=s|th)	NOU-C(number=unclear,infl=s|th)	NOU-C(number=unclear,infl=s|th)	zelfstandig naamwoord probleemgeval, geen uitgang
094	NOU-C(number=unclear,infl=n)	NOU-C(number=unclear,infl=n)	NOU-C(number=unclear,infl=n)	zelfstandig naamwoord probleemgeval, uitgang -n
099	NOU-C(number=unclear,infl=other)	NOU-C(number=unclear,infl=other)	NOU-C(number=unclear,infl=other)	zelfstandig naamwoord probleemgeval, uitgang latijn, onduidelijk of evident fout geschreven
100	AA(NA=sg,infl=0,position=pred|prenom|postnom)			bijvoeglijk naamwoord enkelvoud, geen uitgang
101	AA(NA=sg,infl=e,position=pred|prenom|postnom)			bijvoeglijk naamwoord enkelvoud, uitgang -e
102	AA(NA=sg,infl=s|th,position=pred|prenom|postnom)			bijvoeglijk naamwoord enkelvoud, uitgang -s|-th
103	AA(NA=sg,infl=t,position=pred|prenom|postnom)			bijvoeglijk naamwoord enkelvoud, uitgang -t
104	AA(NA=sg,infl=n,position=pred|prenom|postnom)			bijvoeglijk naamwoord enkelvoud, uitgang -n
105	AA(NA=sg,infl=r|re,position=pred|prenom|postnom)			bijvoeglijk naamwoord enkelvoud, uitgang -r|-re
106	AA(NA=sg,infl=a,position=pred|prenom|postnom)			bijvoeglijk naamwoord enkelvoud, uitgang -a
109	AA(NA=sg,infl=other,position=pred|prenom|postnom)			bijvoeglijk naamwoord enkelvoud, uitgang latijn, onduidelijk of evident fout geschreven
110	AA(NA=pl,infl=0,position=pred|prenom|postnom)			bijvoeglijk naamwoord meervoud, geen uitgang
111	AA(NA=pl,infl=e,position=pred|prenom|postnom)			bijvoeglijk naamwoord meervoud, uitgang -e
112	AA(NA=pl,infl=s|th,position=pred|prenom|postnom)			bijvoeglijk naamwoord meervoud, uitgang -s|-th
114	AA(NA=pl,infl=n,position=pred|prenom|postnom)			bijvoeglijk naamwoord meervoud, uitgang -n
115	AA(NA=pl,infl=r|re,position=pred|prenom|postnom)			bijvoeglijk naamwoord meervoud, uitgang -r|-re
116	AA(NA=pl,infl=a,position=pred|prenom|postnom)			bijvoeglijk naamwoord meervoud, uitgang -a
119	AA(NA=pl,infl=other,position=pred|prenom|postnom)			bijvoeglijk naamwoord meervoud, uitgang latijn, onduidelijk of evident fout geschreven
190	AA(NA=other,infl=0,position=pred|prenom|postnom)			bijvoeglijk naamwoord probleemgeval, geen uitgang
191	AA(NA=other,infl=e,position=pred|prenom|postnom)			bijvoeglijk naamwoord probleemgeval, uitgang -e
194	AA(NA=other,infl=n,position=pred|prenom|postnom)			bijvoeglijk naamwoord probleemgeval, uitgang -n
200	VRB(type=mai,finiteness=fin,mood=ind|conj,tense=pres,infl=0)		VRB(type=mai,finiteness=fin,mood=ind|conj,tense=pres,infl=0)	persoonsvorm o.t.t. (zelfst.ww.), geen uitgang
201	VRB(type=mai,finiteness=fin,mood=ind|conj,tense=pres,infl=e)		VRB(type=mai,finiteness=fin,mood=ind|conj,tense=pres,infl=e)	persoonsvorm o.t.t. (zelfst.ww.), uitgang -e
202	VRB(type=mai,finiteness=fin,mood=ind|conj,tense=pres,infl=s|th)		VRB(type=mai,finiteness=fin,mood=ind|conj,tense=pres,infl=s|th)	persoonsvorm o.t.t. (zelfst.ww.), uitgang -s|-th
203	VRB(type=mai,finiteness=fin,mood=ind|conj,tense=pres,infl=t)		VRB(type=mai,finiteness=fin,mood=ind|conj,tense=pres,infl=t)	persoonsvorm o.t.t. (zelfst.ww.), uitgang -t
204	VRB(type=mai,finiteness=fin,mood=ind|conj,tense=pres,infl=n)		VRB(type=mai,finiteness=fin,mood=ind|conj,tense=pres,infl=n)	persoonsvorm o.t.t. (zelfst.ww.), uitgang -n
205	VRB(type=mai,finiteness=fin,mood=ind|conj,tense=pres,infl=r|re)		VRB(type=mai,finiteness=fin,mood=ind|conj,tense=pres,infl=r|re)	persoonsvorm o.t.t. (zelfst.ww.), uitgang -r|-re
209	VRB(type=mai,finiteness=fin,mood=ind|conj,tense=pres,infl=other)		VRB(type=mai,finiteness=fin,mood=ind|conj,tense=pres,infl=other)	persoonsvorm o.t.t. (zelfst.ww.), uitgang latijn, onduidelijk of evident fout geschreven
210	VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=pres,infl=0)		VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=pres,infl=0)	persoonsvorm o.t.t. (koppel-|hulpww.), geen uitgang
211	VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=pres,infl=e)		VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=pres,infl=e)	persoonsvorm o.t.t. (koppel-|hulpww.), uitgang -e
212	VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=pres,infl=s|th)		VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=pres,infl=s|th)	persoonsvorm o.t.t. (koppel-|hulpww.), uitgang -s|-th
213	VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=pres,infl=t)		VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=pres,infl=t)	persoonsvorm o.t.t. (koppel-|hulpww.), uitgang -t
214	VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=pres,infl=n)		VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=pres,infl=n)	persoonsvorm o.t.t. (koppel-|hulpww.), uitgang -n
219	VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=pres,infl=other)		VRB(type=aux|cop,finiteness=fin,mood=ind|conj,tense=pres,infl=other)	persoonsvorm o.t.t. (koppel-|hulpww.), uitgang latijn, onduidelijk of evident fout geschreven
220	VRB(type=mai,finiteness=fin,mood=ind|conj,tense=past,infl=0)		VRB(type=mai,finiteness=fin,mood=ind|conj,tense=past,infl=0)	persoonsvorm o.v.t. (zelfst.ww.), geen uitgang
