TTpos	CQL	head	voorbeeld
ADJ ADJ ADJ N	[ pos = "ADJ" ] [ pos = "ADJ" ] [ pos = "ADJ" ] [ pos = "NOUN" ]	3	onafhankelijk europes openbADJr ADJnklager
ADJ ADJ N	[ pos = "ADJ" ] [ pos = "ADJ" ] [ pos = "NOUN" ]	2	federale gerechtelijke politie
ADJ N	[ pos = "ADJ" ] [ pos = "NOUN" ]	1	administratief onderzoek
ADJ N ADJ N	[ pos = "ADJ" ] [ pos = "NOUN" ][ pos = "ADJ" ] [ pos = "NOUN" ]	1	ander oorzADJk bovenstADJnd probleem
ADJ NAME	[ pos = "ADJ" ] [ pos = "PROPN" ]	1	Corrupt Practices
ADJ N N	[ pos = "ADJ" ] [ pos = "NOUN" ] [ pos = "NOUN" ]	1	Federale Overheidsdienst Justitie
ADJ N NAME	[ pos = "ADJ" ] [ pos = "NOUN" ] [ pos = "PROPN" ]	1	internationale werkgeversorganisatie ICC
ADJ N NAME NAME	[ pos = "ADJ" ] [ pos = "NOUN" ] [ pos = "PROPN" ] [ pos = "PROPN" ]	1	Federale Politie CDBC Police
ADJ N VZ N	[ pos = "ADJ" ] [ pos = "NOUN" ] [ pos = "ADP" ] [ pos = "NOUN" ]	1	Europees Bureau voor fraudebestrijding
ADJ N VZ NAME	[ pos = "ADJ" ] [ pos = "NOUN" ] [ pos = "ADP" ] [ pos = "PROPN" ]	1	Belgische afdeling van Transparency
N	[ pos = "NOUN" ]	0	ADJnhoudingsbevel
N ADJ ADJ N	[ pos = "NOUN" ] [ pos = "ADJ" ] [ pos = "ADJ" ] [ pos = "NOUN" ]	0	Parlement beschikbADJr gestelde middelen
N ADJ N	[ pos = "NOUN" ] [ pos = "ADJ" ] [ pos = "NOUN" ]	0	Commissie constitutionele zaken
N ADJ N NAME	[ pos = "NOUN" ] [ pos = "ADJ" ] [ pos = "NOUN" ] [ pos = "PROPN" ]	0	Justitie Federale Politie CDBC
NAME	[ pos = "PROPN" ]	0	ABM
NAME ADJ NAME	[ pos = "PROPN" ][ pos = "ADJ" ] [ pos = "PROPN" ]	2	foreign corrupt practices
NAME N	[ pos = "PROPN" ] [ pos = "NOUN" ]	0	fod financiën
NAME N ADJ N	[ pos = "PROPN" ] [ pos = "NOUN" ] [ pos = "ADJ" ] [ pos = "NOUN" ]	0	fod justitie federADJl politie
NAME NAME	[ pos = "PROPN" ] [ pos = "PROPN" ]	1	grand prix
NAME NAME ADJ N	[ pos = "PROPN" ] [ pos = "PROPN" ][ pos = "ADJ" ] [ pos = "NOUN" ]	3	transparency international opgesteld index
NAME NAME N	[ pos = "PROPN" ] [ pos = "PROPN" ] [ pos = "NOUN" ]	2	greco oeso vn-corruptie
