lemma	pos	totaal	Delft	Deux	Leuven	Luther	SV1657	woordvormen
aafs	NOU	29	1	0	8	0	20	[Saaphs 1]; [Aphses 1]; [aphses 1]; [Asaphs 26]
aafs	NEPER	21	1	0	8	0	12	[Asaphs 20]; [asaphs 1]
aaien	NOU	10	1	1	2	2	4	[ahaiath 1]; [Ahohiter 9]
aalmis	NEPER	11	2	4	5	0	0	[Aelmissen 4]; [almissen 4]; [almisse 1]; [aelmissen 2]
aalmis	NOU	45	14	7	24	0	0	[aelmissen 12]; [almissen 4]; [almisse 13]; [Aelmisse 1]; [aelmisse 15]
aalmoes	NOU	143	0	27	5	36	75	[aelmoesse 45]; [aelmoessen. 1]; [Aelmoessen. 1]; [almoessen 2]; [Aelmoessen 13]; [aelmoessen 79]; [aelmoesen 2]
aanbeden	NOU	26	6	1	1	15	3	[aenbaden. 1]; [Ahasbai 2]; [aenbede. 1]; [aen-baden 4]; [aenbandt 1]; [aen-bede 1]; [aen-badt 9]; [aenbeedt 1]; [aenbedet 1]; [Aasbai 1]; [aenbade 2]; [aenbedes 1]; [abida. 1]
aanbeden	ADJ	14	7	0	2	5	0	[aenbedense 1]; [aen-bade 1]; [aenbeedstu 1]; [aen-badt 2]; [aenbeedt 1]; [aenbadtse 1]; [aenbedene 1]; [aenbeedse 2]; [aen-badtse 1]; [aenbade 2]; [aenbedes 1]
aanbeden	NEPER	21	5	3	3	7	3	[aenbedese 1]; [aenbedense 1]; [Abida 11]; [Ahasbai 2]; [abida 1]; [aen-badt 3]; [aenbeedse 1]; [aenbedes 1]
aanbeden	VRB	253	147	9	63	33	1	[aenbedese 1]; [aenbaden. 1]; [anbede 3]; [aengebedet 1]; [aenbedende 2]; [aenbede. 1]; [aenghebedet 1]; [aenbedene. 1]; [aenbeden 144]; [aen-baden 20]; [aenbadent 1]; [aenbeden. 2]; [aen-badt 13]; [aenbiedet 1]; [aenbeedt 1]; [aenbedede 2]; [aenbedet 3]; [aenbede 47]; [aenbedene 5]; [aenbade 2]; [aenghebedet. 1]
aanbegin	NOU	46	0	19	0	13	14	[aen-begin 12]; [aenbeghin 5]; [aenbeginne 27]; [aenbegin 2]
aanbidden	ADP	15	0	1	4	2	8	[aen-biddet 1]; [Aen-biddet 1]; [Aenbidt 7]; [aenbidt 6]
aanbidden	VRB	561	4	121	169	89	178	[aenbidden. 2]; [aen-bidt 1]; [aenbaden 50]; [aenghebeden 12]; [aenbiddet 5]; [aen-bidde 7]; [Aenbidden 8]; [aenbidt 30]; [aengebeden 31]; [aen-gebeden 1]; [aengheboden 3]; [aenbidde 12]; [aenbadt 53]; [aen-bidden 53]; [aenbiddende 17]; [aenbidden 271]; [aen-biddet 5]
aanbidden	NOU	61	0	13	19	21	8	[aen-bidt 3]; [Aenbidt 1]; [aenghebeden 20]; [aenbiddet 4]; [aenbidt 7]; [aengebeden 5]; [aen-gebeden 12]; [aenbiddest 1]; [aen-bidden 3]; [aenbidden 3]; [aen-biddet 2]
aanbidden	ADJ	33	1	10	16	4	2	[aen-bidt 1]; [aenghebeden 22]; [aenbiddet 1]; [aenbidt 2]; [aenbiddest 3]; [aen-bidden 1]; [aenbiddende 1]; [aen-biddet 2]
aanbidder	NOU	22	0	2	2	3	15	[Aen-bidders 1]; [aen-bidders 2]; [aenbidders 19]
aanbidding	NOU	15	0	2	0	0	13	[aenbiddinge. 1]; [aenbiddinge 10]; [aenbiddinghe 3]; [aenbiddingen 1]
aanbieden	NOU	18	1	2	1	6	8	[aenboden 1]; [aenbieden 1]; [anegheboden 1]; [Aen-bieden 1]; [aengeboden 1]; [aen-bieden 1]; [nae-buyten 1]; [Abiud 6]; [abiud 1]; [aenboodt 1]; [aenbiedt 1]; [aen-geboden 1]; [Abihud 1]
aanbieden	ADJ	12	0	2	0	4	6	[aen-gebodene 1]; [aengeboden 2]; [Abiud 2]; [aengebodene 5]; [Abihud 2]
aanbieden	VRB	39	0	6	1	10	22	[aenbiede 1]; [aenboden 2]; [aenbieden 5]; [aen-gheboden 1]; [aen-boden 1]; [Abiud. 1]; [aen-biede 1]; [aenbiet 2]; [aengeboden 13]; [aen-bieden 1]; [Abiud 3]; [aengeboden. 1]; [aenboodt 1]; [aenbiedt 3]; [aen-geboden 1]; [aenbiedende. 1]; [aen-biedt 1]
aanbieder	NEPER	52	0	28	20	0	4	[AbIathars 1]; [Abiathar 28]; [AbIathar 20]; [Abiathars 3]
aanbijten	VRB	10	9	1	0	0	0	[aenbeten 1]; [abijt 2]; [aenbeet 6]; [anbijten 1]
aanbinden	VRB	18	0	3	0	2	13	[aengebonden 8]; [aen-gebonden 1]; [aenbinden 5]; [aen-bindt 1]; [aenghebonden 3]
aanbreken	VRB	17	0	4	0	10	3	[aenbrack 3]; [aen-brack 5]; [aenbreeckt 1]; [aen-breke 2]; [aenbreect 2]; [aenbreken 2]; [aen-breeckt 2]
aanbrengen	NOU	20	1	3	9	0	7	[aenbrochten 1]; [aenghebrocht 1]; [aenbrachten 3]; [aenbracht 2]; [aenghebracht 1]; [aenbrenghen 9]; [aenbrenght 3]
aanbrengen	VRB	155	7	8	61	3	76	[aenbrenghende 2]; [aenbrochten 1]; [aenghebrocht 3]; [aenbrachten 1]; [anbrenghet 1]; [aenbracht 1]; [aanbracht 1]; [aen-brengen 1]; [aenbrengende 4]; [aanbrengen 1]; [aenghebracht 27]; [aenbrengt 1]; [aenbrengen. 1]; [aenbrenghen 22]; [aangebracht 6]; [aenbrenghet 1]; [aenbrengen 54]; [aenbrachte 1]; [aen-gebracht 2]; [aenbrenght 8]; [aengebracht 15]; [aengebrocht 1]
aanbrengen	ADJ	11	0	0	7	0	4	[aenbrenghende 1]; [aenbrengende 2]; [aenghebracht 2]; [aenbrenghen 3]; [aenbrenghet 1]; [aenbrengen 2]
aandacht	NOU	63	0	8	10	14	31	[aendacht. 1]; [aen-dacht 5]; [aendachte 9]; [aandacht 1]; [aendacht 47]
aandachtig	ADJ	23	1	4	0	3	15	[aendachtichste 1]; [aendachtigste 1]; [aendachtige 10]; [aendachtich 4]; [aendachtigh 7]
aandekken	NOU	229	0	0	0	0	229	[aenteeck. 229]
aandienen	VRB	32	0	0	0	9	23	[aen-gedient 4]; [aengedient. 1]; [aendiene 1]; [aendienden 1]; [aengedient 12]; [aendienen 9]; [aen-dienen 3]; [aen-diene 1]
aandiepen	NEPER	20	0	2	1	5	12	[Hatipha 5]; [Antipas 14]; [Antipa 1]
aandoen	NOU	16	1	0	0	10	5	[aen-doen 8]; [aendede 1]; [aen-deden 1]; [aendeden 2]; [aendoe 1]; [aendoen. 1]; [andede 1]; [aen-dede 1]
aandoen	VRB	407	13	16	78	26	274	[aen-doen 11]; [aendede 5]; [aengedaen. 1]; [aendoende 2]; [aengedaen 164]; [Aendoen 1]; [aendeden 4]; [aenghedaen 49]; [aendeden. 1]; [aendoen. 2]; [aandoen 1]; [aen-gedaen 9]; [aen-doet 2]; [aendoet 34]; [aendoen 115]; [aengehedaen 1]; [aen-dede 1]; [andoen 4]
aandrijven	VRB	25	0	0	0	0	25	[aendreef 4]; [aendrijft. 1]; [aengedreven 12]; [aendrijven 4]; [aendrijve 1]; [aendrijft 3]
aandrommen	NEPER	21	0	5	3	6	7	[Andream 18]; [Adream 1]; [Andream. 2]
aandruisen	NEPER	12	1	3	0	4	4	[Andronico 1]; [Andronicoen 1]; [andronicus 1]; [Andronicus 9]
aanfluiting	NOU	10	0	0	0	1	9	[aenfluytingen 1]; [aenfluytinge 8]; [aen-fluytinge 1]
aangaan	NOU	20	3	3	0	4	10	[aengingen 2]; [aengingh 8]; [aen-gingen 2]; [aenghinghen 3]; [aen-gaet 2]; [aenghingen 1]; [aenginghen 1]; [aenghinck 1]
aangaan	VRB	310	30	36	38	23	183	[aen-gaende. 1]; [aengaet. 3]; [angingen 1]; [aengingen 2]; [aengaende. 1]; [aengingh 13]; [aen-ginck 3]; [aengegaen 10]; [aenghaet 1]; [aengaet 154]; [angaen 4]; [aen-gaen 2]; [aenghegaen 13]; [aen-gaet 7]; [aengaen 81]; [anginc 3]; [anghegaen 1]; [aenghaen 2]; [aanghegaen 1]; [aenghinc 1]; [Aengaet 1]; [aen-gegaen 3]; [aengingen. 1]; [aenginc 1]
aangaan	ADJ	10	2	1	3	3	1	[aen-gaende 2]; [aenghaende 1]; [aenghinghen 2]; [aengheghaen 1]; [aen-gae 1]; [aenghinck 2]; [aengingh. 1]
aangaande	ADP	462	0	28	11	8	415	[Aengaende 107]; [aengaende 349]; [AEngaende 6]
aangeboren	ADJ	21	0	5	0	4	12	[aengheboren 3]; [aengeboren 8]; [aen-geboren 2]; [aengeborene 8]
aangenaam	ADJ	431	0	63	20	49	299	[aenghename 10]; [aengenaeam 1]; [Achinoham 1]; [aenghenaem 50]; [Aengenaem 1]; [aengenaemst 3]; [aen-gename 1]; [aengenaems 1]; [aenghenamen 4]; [aen-genaem 5]; [aengenamen 11]; [Achinoam 2]; [aenghenamer 1]; [aengename 42]; [Aengename 2]; [aengenaem 284]; [aengenaem. 1]; [aen-genamen 1]; [aengenamer 10]
aangenaamheid	NOU	51	0	1	0	1	49	[aengenaemheyt 50]; [Aengenaemheyt 1]
aangenomen	ADJ	13	0	0	0	1	12	[aengenomenen 1]; [aen-genomen 1]; [aengenomene 11]
aangeven	VRB	17	4	6	3	1	3	[aengeven 3]; [aen-gegeven 1]; [aangegeven 10]; [aenghegheuen 2]; [aenghegeuen 1]
aangezet	NOU	12	0	5	0	7	0	[aengheseyt 4]; [aen-geseyt 6]; [aengheseydt 1]; [aen-gheseyt 1]
aangezet	NEPER	10	0	6	0	4	0	[aengheseyt 4]; [aen-geseyt 4]; [aengheseydt 2]
aangezicht	VRB	188	0	11	0	39	138	[aengesichte 80]; [aen-gesichten 1]; [aenghesichten 4]; [aengesichtes 1]; [aenghesicht 1]; [aengesichten 98]; [aengesichts 3]
aangezicht	NOU	2618	1	211	0	390	2016	[aen-gesichts 5]; [aengesichte 1577]; [aen-gesichten 5]; [aenghesichten 8]; [aengesichtes 6]; [aengesichts. 1]; [Aengesicht 11]; [aenghesicht 63]; [aen-gesicht 56]; [aengesichten 68]; [anghesicht 1]; [aengesicht 649]; [aenghesichts 8]; [aengesichts 54]; [Aengesichte 2]; [Aen-gesicht 1]; [aenghesichte 80]; [aen-gesichte 22]; [aenge-sichte 1]
aangezicht	ADJ	15	0	9	0	2	4	[aenghesichten 6]; [aenghesicht 2]; [aengesichten 5]; [aengesicht 1]; [aengesichts 1]
aangezien	CON	86	2	6	4	9	65	[Aangezien 1]; [aengesien 82]; [Aengesien 3]
aangorden	VRB	22	0	0	1	0	21	[aengordt 1]; [aengegordt 1]; [aenghegort 1]; [aengorddet 1]; [aengegort 2]; [aengordeden 1]; [aengegordet 6]; [aengorden 9]
aangreep	NOU	14	0	4	3	2	5	[Agrippa 10]; [aengrepen 1]; [aen-greep 1]; [aen-grepen 1]; [aengrepe 1]
aangrijpen	NEPER	22	0	3	2	8	9	[Agrippas 6]; [Agrippa 16]
aangrijpen	NOU	14	0	4	0	10	0	[aen-gegrepen 1]; [aengrijper 1]; [aen-grijpt 2]; [aen-grijpen 4]; [aen-grijper 2]; [aengrijp 3]; [aengrijpest 1]
aangrijpen	NELOC	49	0	13	4	8	24	[Agrippa 49]
aangrijpen	ADJ	16	1	3	1	8	3	[aengrijpse 1]; [aen-gegrepen 1]; [aengrijper 4]; [Agrippa 1]; [aen-grijpt 1]; [aengripen 1]; [aen-grijpen 2]; [aengrijpen 2]; [aengrijpest 1]; [aenghegrepen 2]
aangrijpen	VRB	136	3	32	25	30	46	[aen-greepen 1]; [aengegrepen 18]; [aengrijpe 1]; [aen-gegrepen 5]; [aengripende 1]; [aengrepen 3]; [aengrijpt 17]; [aengrijpen. 1]; [aen-greep 2]; [aen-grijpt 4]; [aengripen 1]; [aen-grijpen 11]; [aengrijpen 54]; [aen-grijpe 1]; [aen-grepen 2]; [aengrijpest 1]; [aengreep 3]; [aengrepe 1]; [aen-grypen 1]; [aengrijpende 4]; [aenghegrepen 4]
aanhang	NOU	55	0	16	0	16	23	[aenhanghe 3]; [aen-hanck 1]; [aenhangen 5]; [aen-hangh 7]; [aenhangh 24]; [aenhanck 15]
aanhangen	NOU	26	1	4	4	7	10	[aen-hingen 1]; [aen-hangt 1]; [anhanghen 1]; [aenhinghen 1]; [aenhanghende 1]; [aenhanght 3]; [aen-hangen 3]; [aenhingh 4]; [aen-gehangen 2]; [aenhanghet 1]; [aenhange 1]; [aenhanghen. 1]; [aenhingen 4]; [aenhanghen 1]; [aenghehanghen 1]
aanhangen	VRB	126	1	30	16	26	53	[aen-hingen 1]; [aen-hangt 3]; [aen-hanget 5]; [aengehangen 4]; [aenhanghende 1]; [aenhanght 7]; [aenhangen 37]; [aenhangende 6]; [aen-hangen 13]; [aen-hangh 1]; [aenhanget 1]; [aenhange 2]; [aenhangt 8]; [aenhingen 3]; [aenhanghen 20]; [anehanghen 1]; [aenghehanghen 13]
aanhanger	NOU	20	0	0	0	0	20	[aenhanger 1]; [aenhangeren 1]; [aenhangers 18]
aanhangsel	NOU	19	0	2	2	0	15	[aenhanghselen 1]; [Aenhanghselen 3]; [aenhanckselen 1]; [aenhancsels 1]; [aenhanghsel 3]; [Aenhanghsel 8]; [Aenhangselen 1]; [aenhancsele 1]
aanhelen	NOU	21	12	2	0	3	4	[ananehels 2]; [asahel 8]; [asahel. 1]; [Ahilud 5]; [Asahel 4]; [ananehel 1]
aanhelen	ADV	23	8	3	1	5	6	[ananehel 2]; [Asahel 15]; [asahel 6]
aanhelen	NEPER	71	15	21	7	12	16	[asahel 11]; [ahiluds 1]; [ahiluth 1]; [Ahilud 4]; [Ahiluds 9]; [Asahel 43]; [ananehel 2]
aanhitten	NOU	10	7	0	1	2	0	[anathot 5]; [anathot. 2]; [Anathoth 3]
aanhitten	NEPER	41	10	7	4	5	15	[anathot 10]; [Anathoth 30]; [Anathot 1]
aanhitten	NELOC	40	0	9	10	9	12	[Anathoth 39]; [Anathot 1]
aanhoren	VRB	25	0	2	4	6	13	[aen-hoorden 3]; [aenhoort 1]; [aengehoort 4]; [aenhoorde 2]; [aen-hoorde 1]; [aen-hooren 1]; [aenhooren 12]; [aenhoorden 1]
aanhouden	VRB	49	1	2	2	12	32	[aenhouden. 3]; [aen-hielden 1]; [aangehouden 3]; [aengehouden 3]; [aen-houdende 1]; [aenhoudende 6]; [aenhielden 1]; [aen-hielt 1]; [aen-houden 7]; [aenhieldt 3]; [aenhouden 19]; [aenhoude 1]
aanjagen	VRB	12	0	0	1	0	11	[aenjagen 8]; [aenjaeght 2]; [aengheiaecht 1]; [aengejaeght 1]
aanklacht	NOU	20	0	0	0	8	12	[aen-klachte 1]; [aen-klaghte 2]; [aenklage 3]; [Aenklachte 1]; [aenklaghten 3]; [aenklaghte 7]; [aenklachte 3]
aanklager	NOU	14	0	1	0	7	6	[aenklager 2]; [aen-klagers 5]; [aenklagers 6]; [aenklaghers 1]
aankleven	VRB	38	1	1	14	1	21	[aen-kleeft 1]; [aenklevende 1]; [aenkleven 9]; [aencleeft 3]; [aenkleven. 1]; [aenghecleeft 6]; [aengekleeft 2]; [aencleuen 4]; [aencleuende 1]; [aenkleeft 9]; [ancleuende 1]
