id	title	bestandsnaam	fictionality	genre	genre	subgenre	subgenre	subgenre	subgenre	author	opmerking
INT_df594d21-2d1e-47e6-905a-7ed0be75fe64	AB recht ende averecht	ab_recht_ende_averecht	non-fiction	verse	secular	 	Philosophy / ethics	 	 	unknown	 
INT_ce2d5b07-1833-4953-881b-4a92f73f610d	Aiol (2) (Vlaamse Aiol)	aiol	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
INT_a520d29d-6ae5-4c2a-91b9-05c1a62e31a0	Alexanders geesten	alexanders_geesten	fiction	Verse	secular	epic	 	 	 	Jacob van Maerlant	 
INT_e7de428c-3c2b-4961-af37-253c1d036cac	Anatomie van de mens	anatomie_van_de_mens	non-fiction	Verse	secular	artes	science	physionomy	 	unknown	 
INT_981457f3-b46e-48ad-b44d-ed6cab4a6e46	Antwerps liedboek	antwerps_liedboek	fiction	Verse	secular	stanzaic	song	 	 	not applicable	 
INT_76ec5f39-8c20-4a33-93d2-6e9c0ff64185	Arturs doet	arturs_doet	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
INT_120d10cd-49e8-447f-9e78-7186ea3cfb06	Aubri de Borgengoen	aubri_de_borgengoen	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
INT_07457f84-eccb-4062-813e-099667c1885a	Baghynken van Parys	baghynken_van_parys	fiction	Verse	religious	stanzaic	legend	chapbook	 	unknown	 
INT_8f5f4818-1477-4d22-b1dd-0813f213d4cd	Barlaam en Josaphat, fragment Gent	barlaam_en_josaphat_fragm_ge	fiction	Verse	religious	 	legend	 	 	unknown	 
INT_8ce3c021-108e-400f-8b79-5f5ae1462af3	Barlaam en Josaphat, fragment Göttingen	barlaam_en_josaphat_fragm_go	fiction	Verse	religious	 	legend	 	 	unknown	 
INT_652596d6-0ffb-42d9-9931-82b4e641dd22	Beatrijs	beatrijs	fiction	Verse	religious	 	legend	 	 	unknown	 
INT_de6b4926-4691-4440-a464-bc7d0fd5ebdb	Bediedenisse van der missen	bediedenisse_van_der_missen	non-fiction	Verse	religious	 	Theology / ethics	 	 	unknown	 
INT_6b278d13-8f83-4e20-924d-6eab1ed0b4d4	Beerte metten breden voeten	beerte_metten_breden_voeten	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
INT_d8934e68-c979-4bd2-a67c-354ee6bbfe57	Beginsel der oorlogen van Luyck	beginsel_der_oorlogen_van_luyck	non-fiction	Verse	secular	 	history	 	 	unknown	 
INT_2af8437b-1883-464b-808c-5446e5e31386	Commentaar op het Hooglied (berijmd)	berijmd_commentaar_op_het_hooglied_fragm_w	non-fiction	Verse	religious	 	Theology / ethics	 	 	unknown	 
INT_27726b61-b588-493c-bd21-c1cfe8341d7f	Berlijnse liederenhandschrift	berlijnse_liederenhandschrift	fiction	Verse	secular	stanzaic	song	 	 	not applicable	 
INT_d7790fa5-6d65-492a-887b-8ca24f29344a	Bijbelvertaling van 1360, Oude Testament, Zuidnederlandse Historiebijbel, Eerste Historiebijbel	bijbelvertaling_van_1360	non-fiction	prose	religious	Biblical texts	 	 	 	Bijbelvertaler van 1360	 
INT_729b1b49-b3fc-4e81-8ace-c70d15b1a22a	Blome der doechden	blome_der_doechden	non-fiction	prose	secular	 	Philosophy / ethics	 	 	Dirc Potter	 
INT_4aa65f3a-63db-4636-86e6-3566cae33f30	Boec Exemplaer	boec_exemplaer	non-fiction	Verse	secular	 	Philosophy / ethics	 	 	unknown	 
INT_36cdbd33-6083-4872-a2d8-b597408bbe61	Boec van den houte (prozaversie)	boec_van_den_houte_proza	non-fiction	Prose	religious	 	legend	 	 	unknown	 
INT_2a15e3ff-3d6e-4f25-9577-fad88a98bfcf	Boec van den houte (berijmde versie)	boec_van_den_houte_rijm	fiction	Verse	religious	 	legend	 	 	unknown	 
INT_e2f16391-7739-4cce-a233-3236072f4fb9	Boeck van surgien	boeck_van_surgien_hs_dh	non-fiction	Prose	secular	artes	medicine	 	 	Thomas Scellinc	 
INT_be8b4ee4-e295-423f-9bd8-eadc2e3e832a	Boecksken der verclaringhe	boecksken_der_verclaringhe	non-fiction	Prose	religious	 	Theology / ethics	 	 	Jan van Ruusbroec	 
INT_c31cbc59-9125-45f7-a71f-a4425ecd56c3	Borchgrave van Couchi	borchgrave_van_couchi	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
INT_168dfa31-f88b-41de-8d9f-fb2659038bc5	Borchgrave van Couchi, fragment Arras	borchgrave_van_couchi_fragm_a	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
INT_751d3276-dadf-4ec6-9840-4fe15de3ac5b	Borchgrave van Couchi, fragment Brussel	borchgrave_van_couchi_fragm_br	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
INT_ed8df0c7-36c1-427c-93d9-3a762863ce4b	Borchgrave van Couchi, fragmenten De Pauw	borchgrave_van_couchi_fragm_dp	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
INT_9e311f12-81c0-43af-8683-7f41f668b785	Borchgravinne van Vergi (1)	borchgravinne_van_vergi__1	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
INT_ba4e83c3-f92c-4fe6-bd87-7be0240ecdae	Borchgravinne van Vergi (2)	borchgravinne_van_vergi__2	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
INT_f4f77d90-faea-4c41-a4fa-c0cb58be773d	Boudewijn van Seborch, fragment Amsterdam	boudewijn_van_seborch_fragm_a	fiction	Verse	secular	epic	Chivalric romance	 	 	unknown	 
INT_b1883f85-18f0-48dd-a920-a95c58e23d50	Boudewijn van Seborch, fragment München	boudewijn_van_seborch_fragm_m	fiction	verse	secular	epic	Chivalric romance	 	 	unknown	 
INT_308a2491-c67b-40bd-8142-2954c63d2bf1	Brabantsche yeesten (boek 1-5)	brabantsche_yeesten__1-5	non-fiction	verse	secular	 	history	 	 	Jan van Boendale	 
INT_2464880c-e883-44a5-9667-e882fc260c01	Brabantsche yeesten (boek 6)	brabantsche_yeesten__6	non-fiction	Verse	secular	 	history	 	 	unknown	 
INT_3599450d-ff29-4aa0-a0ca-15a6b56cd46d	Brabantsche yeesten (boek 7)	brabantsche_yeesten__7	non-fiction	verse	secular	 	history	 	 	unknown	 
INT_e6765d2a-e35c-49bb-a7b4-cbbaf78b0617	Brieven	brieven	non-fiction	Prose	religious	 	Theology / ethics	 	 	Hadewijch	 
INT_e223e0c0-a2cb-47f9-9692-7625da53cad4	Buskenblazer	buskenblazer	fiction	verse	secular	drama	 	 	 	unknown	 
