TITEL	GENRE	GENRE	GENRE	SUBGENRE	SUBGENRE	SUBGENRE	SUBGENRE	AUTEUR	OPMERKING
hattem_06._alchemistische_en_technische_recepten	Non-fiction	prose	secular	artes	alchemy	technic	 	unknown	Titel aanpassen
bijbelvertaling_van_1360	Non-fiction	prose	religious	Biblical texts	 	 	 	Bijbelvertaler van 1360	 
blome_der_doechden	Non-fiction	prose	secular	 	Philosophy / ethics	 	 	Dirc Potter	 
boecksken_der_verclaringhe	Non-fiction	Prose	religious	 	Theology / ethics	 	 	Jan van Ruusbroec	 
boeck_van_surgien_hs_dh	Non-fiction	Prose	secular	artes	medicine	 	 	Thomas Scellinc	 
boec_van_den_houte	Non-fiction	Prose	religious	 	legend	 	 	unknown	 
brieven	Non-fiction	Prose	religious	 	Theology / ethics	 	 	Hadewijch	 
cancellierboeck	Non-fiction	Prose	religious	 	Theology / ethics	 	 	unknown	 
chiromantie	Non-fiction	Prose	secular	artes	Science	chiromancy	 	unknown	 
hattem_11._chirurgische_recepten_slash_ogentraktaat	Non-fiction	prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
circa_instans	Non-fiction	Prose	secular	artes	medicine	 	 	Platearius	 
collectief_lunarium	Non-fiction	Prose	secular	artes	Science	Astronomy / astrology	 	unknown	 
hattem_19._constantinus_africanus_viatice_	Non-fiction	Prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
cyrurgie_hs_br	Non-fiction	Prose	secular	artes	medicine	 	 	Jan Yperman	 
delftse_bijbel	Non-fiction	Prose	religious	Biblical texts	 	 	 	unknown	 
den_droefliken_strijt_van_roncevale	fiction	Prose+verse	secular	chapbook	Chivalric romance	 	 	unknown	 
des_coninx_summe	Non-fiction	prose	secular	 	Philosophy / ethics	 	 	Jan van Brederode	 
de_imitatione_christi	Non-fiction	Prose	religious	 	Theology / ethics	 	 	Thomas a Kempis	 
de_libris_teutonicalibus_hs_b	Non-fiction	Prose	secular	 	Theology / ethics	 	 	Gerard Zerbolt van Zutphen	 
de_libris_teutonicalibus_hs_k	Non-fiction	Prose	secular	 	Theology / ethics	 	 	Gerard Zerbolt van Zutphen	 
de_libris_teutonicalibus_hs_l	Non-fiction	Prose	secular	 	Theology / ethics	 	 	Gerard Zerbolt van Zutphen	 
die_gheestelike_brulocht	Non-fiction	Prose	religious	 	Theology / ethics	 	 	Jan van Ruusbroec	 
hattem_17._diverse_korte_teksten_doorlopend	Non-fiction	Prose	secular	artes	medicine	artifices	 	unknown	Titel aanpassen
hattem_20._diverse_korte_teksten_doorlopend	Non-fiction	prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
hattem_03._diverse_teksten_vnl._latijn	Non-fiction	Prose	secular	artes	science	physionomy	medicine	unknown	Titel aanpassen
hattem_01._43_kwade_dagen_slash_esdras-prognose	Non-fiction	Prose	secular	artes	science	 	 	unknown	Titel aanpassen
euangelien_vanden_spinrocke	Non-fiction	Prose	secular	chapbook	artes	artifices	 	unknown	 
exempel_van_een_soudaensdochter	fiction	Prose	religious	chapbook	legend	 	 	unknown	 
exordium_magnum	fiction	Prose	religious	 	legend	 	 	unknown	Auteur vervangen
hattem_09._flebotomie_laatste_bladzijde_latijn	Non-fiction	prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
fysionomie	Non-fiction	Prose	secular	artes	science	physionomy	 	unknown	 
gebedenboek	Non-fiction	Prose	religious	 	prayer	 	 	unknown	 
getijdenboek_van_geert_grote	Non-fiction	Prose	religious	 	prayer	 	 	Geert Grote	 
gheesteliken_tabernakel	Non-fiction	Prose	religious	 	Theology / ethics	 	 	Jan van Ruusbroec	 
hattem_21._grote_collectie_medische_recepten	Non-fiction	prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
herbarijs	Non-fiction	Prose	secular	artes	medicine	 	 	unknown	 
hattem_12._alfabetische_herbarius_	Non-fiction	Prose	secular	artes	medicine	 	 	unknown	Titel aanpassen
