R201	ADJ(dial)	AA(degree=unclear,position=unclear,case=unclear,infl=unclear)	
R901	BW(dial)	ADV(type=unclear,subtype=unclear)	
R601	LID(bep,dial)	PD(type=dem,subtype=art,case=unclear,GA=unclear,NA=unclear,position=prenom)	
R602	LID(onbep,dial)	PD(type=indef,subtype=art,GA=unclear,NA=unclear,position=prenom,case=unclear)	
R101	N(eigen,dial)	NOU-P(gender=unclear,number=unclear,case=unclear,infl=unclear)	
R102	N(soort,dial)	NOU-C(gender=unclear,number=unclear,case=unclear,infl=unclear)	
R001	TSW(dial)	INT()	
R401	TW(hoofd,dial)	NUM(type=card,position=unclear,case=unclear)	
R402	TW(rang,dial)	NUM(type=ord,position=unclear,case=unclear)	
R802	VG(onder,dial)	CONJ(type=sub)	
R512	VNW(aanw,det,dial)	PD(type=dem,position=prenom,case=unclear,GA=unclear,NA=unclear,infl=unclear)	
R511	VNW(aanw,pron,dial)	PD(type=dem,position=free,case=unclear,gender=unclear,number=unclear,infl=unclear)	
R508	VNW(betr,det,dial)	PD(type=rel,position=prenom,case=unclear,GA=unclear,NA=unclear,infl=unclear)	
R507	VNW(betr,pron,dial)	PD(type=rel,position=free,case=unclear,gender=unclear,number=unclear,infl=unclear)	
R504	VNW(bez,det,dial)	PD(type=poss,position=prenom,case=unclear,gender=unclear,number=unclear,GA=unclear,NA=unclear,infl=unclear)	
R514	VNW(onbep,det,dial)	PD(type=indef,position=prenom,case=unclear,GA=unclear,NA=unclear,infl=unclear)	
R513	VNW(onbep,pron,dial)	PD(type=indef,position=free,case=unclear,gender=unclear,number=unclear,infl=unclear)	
R501	VNW(pers,pron,dial)	PD(type=pers,position=free,case=unclear,gender=unclear,number=unclear,person=unclear,infl=unclear)	
R503	VNW(recip,pron,dial)	PD(type=recip,position=free,case=unclear,gender=unclear,number=unclear,infl=unclear)	
R502	VNW(refl,pron,dial)	PD(type=refl,position=free,case=unclear,gender=unclear,number=unclear,person=unclear,infl=unclear)	
R506	VNW(vrag,det,dial)	PD(type=inter,position=prenom,case=unclear,GA=unclear,NA=unclear,infl=unclear)	
R505	VNW(vrag,pron,dial)	PD(type=inter,position=free,case=unclear,gender=unclear,number=unclear,infl=unclear)	
R702	VZ(fin,dial)	ADP(type=post)	
R701	VZ(init,dial)	ADP(type=pre)	
