ADJ(dial)	AA(degree=uncl,position=uncl)
ADJ(nom,basis,met-e,mv-n)	NOU-C(number=pl)
ADJ(nom,basis,met-e,zonder-n,bijz)	NOU-C(number=sg)
ADJ(nom,basis,met-e,zonder-n,stan)	NOU-C(number=sg)
ADJ(nom,basis,zonder,mv-n)	NOU-C(number=pl)
ADJ(nom,basis,zonder,zonder-n)	NOU-C(number=sg)
ADJ(nom,comp,met-e,mv-n)	NOU-C(number=pl)
ADJ(nom,comp,met-e,zonder-n,bijz)	NOU-C(number=sg)
ADJ(nom,comp,met-e,zonder-n,stan)	NOU-C(number=sg)
ADJ(nom,comp,zonder,zonder-n)	NOU-C(number=sg)
ADJ(nom,sup,met-e,mv-n)	NOU-C(number=pl)
ADJ(nom,sup,met-e,zonder-n,bijz)	NOU-C(number=sg)
ADJ(nom,sup,met-e,zonder-n,stan)	NOU-C(number=sg)
ADJ(nom,sup,zonder,zonder-n)	NOU-C(number=sg)
ADJ(postnom,basis,met-s)	NOU-C(number=sg)
ADJ(postnom,basis,zonder)	AA(degree=pos,position=postnom)
ADJ(postnom,comp,met-s)	NOU-C(number=sg)
ADJ(postnom,comp,zonder)	AA(degree=comp,position=postnom)
ADJ(prenom,basis,met-e,bijz)	AA(degree=pos,position=prenom)
ADJ(prenom,basis,met-e,stan)	AA(degree=pos,position=prenom)
ADJ(prenom,basis,zonder)	AA(degree=pos,position=prenom)
ADJ(prenom,comp,met-e,bijz)	AA(degree=comp,position=prenom)
ADJ(prenom,comp,met-e,stan)	AA(degree=comp,position=prenom)
ADJ(prenom,comp,zonder)	AA(degree=comp,position=prenom)
ADJ(prenom,sup,met-e,bijz)	AA(degree=sup,position=prenom)
ADJ(prenom,sup,met-e,stan)	AA(degree=sup,position=prenom)
ADJ(prenom,sup,zonder)	AA(degree=sup,position=prenom)
ADJ(vrij,basis,zonder)	AA(degree=pos,position=free)
ADJ(vrij,comp,zonder)	AA(degree=comp,position=free)
ADJ(vrij,dim,zonder)	AA(degree=pos,position=free)
ADJ(vrij,sup,zonder)	AA(degree=sup,position=free)
BW()	ADV(type=uncl)
BW(dial)	ADV(type=uncl)
LET()	PC()
LID(bep,dat,evf)	PD(type=dem,subtype=art,position=prenom)
LID(bep,dat,evmo)	PD(type=dem,subtype=art,position=prenom)
LID(bep,dat,mv)	PD(type=dem,subtype=art,position=prenom)
LID(bep,dial)	PD(type=dem,subtype=art,position=prenom)
LID(bep,gen,evmo)	PD(type=dem,subtype=art,position=prenom)
LID(bep,gen,rest3)	PD(type=dem,subtype=art,position=prenom)
LID(bep,stan,evon)	PD(type=dem,subtype=art,position=prenom)
LID(bep,stan,rest)	PD(type=dem,subtype=art,position=prenom)
LID(onbep,dial)	PD(type=indef,subtype=art,position=prenom)
LID(onbep,gen,evf)	PD(type=indef,subtype=art,position=prenom)
LID(onbep,stan,agr)	PD(type=indef,subtype=art,position=prenom)
N(eigen,dial)	NOU-P()
N(eigen,ev,basis,dat)	NOU-P()
N(eigen,ev,basis,gen)	NOU-P()
N(eigen,ev,basis,genus,stan)	NOU-P()
N(eigen,ev,basis,onz,stan)	NOU-P()
N(eigen,ev,basis,zijd,stan)	NOU-P()
N(eigen,ev,dim,gen)	NOU-P()
N(eigen,ev,dim,onz,stan)	NOU-P()
N(eigen,mv,basis)	NOU-P()
N(eigen,mv,dim)	NOU-P()
N(soort,dial)	NOU-C(number=uncl)
N(soort,ev,basis,dat)	NOU-C(number=sg)
N(soort,ev,basis,gen)	NOU-C(number=sg)
N(soort,ev,basis,genus,stan)	NOU-C(number=sg)
N(soort,ev,basis,onz,stan)	NOU-C(number=sg)
N(soort,ev,basis,zijd,stan)	NOU-C(number=sg)
N(soort,ev,dim,gen)	NOU-C(number=sg)
N(soort,ev,dim,onz,stan)	NOU-C(number=sg)
N(soort,mv,basis)	NOU-C(number=pl)
N(soort,mv,dim)	NOU-C(number=pl)
SPEC(achter)	RM()
SPEC(afgebr)	RES(type=uncl,WF=trunc)
SPEC(afk)	RES(type=oth,WF=abbr)
SPEC(comment)	RM()
SPEC(deeleigen)	NOU-P()
SPEC(meta)	RES(type=meta)
SPEC(onverst)	RES(type=uncl)
SPEC(symb)	RES(type=symb)
SPEC(vreemd)	RES(type=for)
TSW()	INT()
TSW(dial)	INT()
TW(hoofd,dial)	NUM(type=card,position=uncl,representation=uncl)
TW(hoofd,nom,mv-n,basis)	NUM(type=card,position=free,representation=uncl)
TW(hoofd,nom,mv-n,dim)	NUM(type=card,position=free,representation=uncl)
TW(hoofd,nom,zonder-n,basis)	NUM(type=card,position=free,representation=uncl)
TW(hoofd,nom,zonder-n,dim)	NUM(type=card,position=free,representation=uncl)
TW(hoofd,prenom,bijz)	NUM(type=card,position=prenom,representation=uncl)
TW(hoofd,prenom,stan)	NUM(type=card,position=prenom,representation=uncl)
TW(hoofd,vrij)	NUM(type=card,position=prenom|postnom|free,representation=uncl)
TW(rang,dial)	NUM(type=ord,position=uncl,representation=uncl)
TW(rang,nom,mv-n)	NOU-C(number=pl)
TW(rang,nom,zonder-n)	NUM(type=ord,position=free,representation=uncl)
TW(rang,nom,zonder-n)[1]	NOU-C(number=sg)
TW(rang,prenom,bijz)	NUM(type=ord,position=prenom,representation=uncl)
TW(rang,prenom,stan)	NUM(type=ord,position=prenom,representation=uncl)
VG(neven)	CONJ(type=coor)
VG(onder)	CONJ(type=sub)
VG(onder,dial)	CONJ(type=sub)
VNW(aanw,adv-pron,obl,vol,3o,getal)	ADV(type=uncl)
VNW(aanw,adv-pron,stan,red,3,getal)	ADV(type=uncl)
VNW(aanw,det,dat,nom,met-e,zonder-n)	PD(type=dem,position=free)
VNW(aanw,det,dat,prenom,met-e,evf)	PD(type=dem,subtype=oth,position=prenom)
VNW(aanw,det,dat,prenom,met-e,evmo)	PD(type=dem,subtype=oth,position=prenom)
VNW(aanw,det,dial)	PD(type=dem,subtype=uncl,position=uncl)
VNW(aanw,det,gen,nom,met-e,zonder-n)	PD(type=dem,position=free)
VNW(aanw,det,gen,prenom,met-e,rest3)	PD(type=dem,subtype=oth,position=prenom)
VNW(aanw,det,stan,nom,met-e,mv-n)	PD(type=dem,position=free)
