app	appositie, bijstelling
body	romp (bij complementizer))
cmp	complementizer
cnj	lid van nevenschikking
crd	nevenschikker (als hoofd van conjunctie)
det	determinator
dlink	discourse-link
dp	discourse-part
hd	hoofd
hdf	afsluitend element van circumpositie
ld	locatief of directioneel complement
me	maat (duur, gewicht, . . . ) complement
mod	bijwoordelijke bepaling
mwp	deel van een multi-word-unit
nucl	kernzin
obcomp	vergelijkingscomplement
obj1	direct object, lijdend voorwerp
obj2	secundair object (meewerkend, belanghebbend, ondervindend)
pc	voorzetselvoorwerp
pobj1	voorlopig direct object
predc	predicatief complement
predm	bepaling van gesteldheid ‘tijdens de handeling’
rhd	hoofd van een relatieve zin
sat	satelliet; aan- of uitloop
se	verplicht reflexief object
su	subject, onderwerp
sup	voorlopig subject
svp	scheidbaar deel van werkwoord
tag	aanhangsel, tussenvoegsel
vc	verbaal complement
whd	hoofd van een vraagzin


ap	bijvoeglijk-naamwoordgroep
advp	woordgroep met bijwoord als hoofd
ahi	aan het-infinitief-groep
conj	nevenschikking
cp	frase ingeleid door onderschikkend voegwoord
detp	woordgroep met lidwoord als hoofd
du	discourse unit
inf	kale infinitiefgroep
np	naamwoordelijke constituent
oti	om te-infinitief-groep
ppart	voltooid/passief-deelwoordgroep
pp	voorzetselconstituent
ppres	tegenwoordig-deelwoordgroep
rel	relatieve zin
smain	declaratieve zin (werkwoord op tweede plaats)
ssub	bijzin (V finaal)
svan	van-zin
sv1	werkwoordsinitiële zin (ja/nee-vraag, bevel)
ti	te-infinitief-groep
whrel	relatieve zin met ingesloten antecedent
whsub	constituentvraag: ondergeschikte zin
whq	constituentvraag: hoofdzin
