19.January	negentiende_januari
200ste.	tweehonderdste
22.octob	tweeëntwintigste_oktober
30.sten	dertigste
4.November	vierde_november
6.ste	zes_stuk
9bre.	november
aan.	aan
aan.	aandoen
aan.	aankomen
aan.	daaraan
aangaande.	aangaande
aangebragt.	aanbrengen
aanschouen.	aanschouwen
aanschouwen.	aanschouwen
aantevaarden.	te_aanvaarden
aantreffen.	aantreffen
Aantreffen.	aantreffen
accepteeren.	accepteren
accorderen.	accorderen
Achtb.	achtbaar
achten.	acht
achting.	achting
adjeu.	adieu
advenant.	advenant
adverteeren.	adverteren
adviseren.	adviseren
aenbieden.	aanbieden
Aenden.	aan_de
aendenken.	aandenken
aengelegen.	aangelegen
aenloopt.	aanlopen
aenmr.	aan_meester
aenvallen.	aanval
af.	afwenden
af.	en_afbrassen
affgeeven.	afgeven
afleg.	afleggen
afsmekenden.	afsmeken
afteleeveren.	te_afleveren
afwagtende.	afwachten
afzyn.	afzijn
Agens.	Agens 
aghting.	hoogachting
agterblyven.	achterblijven
agting.	achting
Agustijus.	augustus
Alcmaer.	Alkmaar
aldaar.	aldaar
Alderliefste.	allerliefste
alleen.	alleen
allerteijd.	al_tijd
Allesbeschermenden.	allesbeschermende
als.	als
als.ghij	als_gij
Alting.	Alting
#Ambr.	Ambrosius
#amc.	Noord-Amerikaans
amen.	amen
Amen.	amen
Amst.	Amsterdam
amsterdam.	Amsterdam
Amsterdam.	Amsterdam
#amsterd.,	Amsterdam
A.M.vander	A._M._Van der Sluijs - Tulleken
An.	aan
ander.	ander
Anderen.	ander
anders.	ander
Ands.	Andreas
ano.	anno
antjen.	Antje
appelen.	oranjeappel
aps.	UNRESOLVED
#arijansz.	Adriaansz
assuransie.	assurantie
avanseeren.	avanceren
B.Albinus	B._Albinus
Ballak.	Ballak
barsten.	barsten
Bartelmeeus.	Bartelmees
#Bartelmx.	Bartelmees
Basson.	basson
#basteiaensz.	Basteiaensz
Batavia.	Batavia
beantwoorden.	beantwoorden
beäntwoorden.	beantwoorden
beantwwoorden.	beantwoorden
bearbeijden.	bearbeiden
becenden.	bekende
Beck.	Van de Beck
becomen.	bekomen
becommen.	bekomen
bedanke.	bedanken
bedanken.	bedanken
bedeelen.	bedelen
bederven.	bederven
bediend.	bedienen
bedinen.	bedienen
bedorven.	bederven
bedraagt.	bedragen
bed.	UNRESOLVED
Beer.	Beer
beesigheeden.	bezigheid
