code	CGN tag	aantal (beetje onbegrijpelijk, staat voor aantal verschillende woord+lemma+pos combinaties)	voorbeeldwoordjes	weergave van uitleg in handleiding	opmerking
000	N(soort,ev,e-nom,stan)	23657	leer  bloes  truckie  AWW  schiereiland	znw soort,nominaal gebruikt basisvorm	extra kenmerk positie ook bij nomina vanwege het gemarkeerde adjectivische gebruik. Vooralsnog geen markering voor dim vs basis. Ook geslacht is niet geannoreerd in Eindh.
001	N(soort,mv,e-nom)	10656	stuurhoezen  blunders  buurlanden  ringetjes  olieconcerns	znw soort,nominaal gebruikt meervoud	
002	N(soort,ev,gen,e-nom)	84	Woensdagavonds  vaders  moeders  lands  aanstoots	znw soort,nominaal gebruikt genitief	
003	N(soort,ev,dat,e-nom)	79	strijden  goede  laste  volke  mate	znw soort,nominaal gebruikt overige buiging	Is dit bijna altijd dat? Lijkt er wel op. Dus gewoon dat van maken. Lijkt ook altijd ev
010	N(eigen,ev,stan)	12899	Nootdorp  casa  Basso  werkclassificatie-als-hulpmiddel-van-de-loonpolitiek  Coventry	znw eigennaam basisvorm	
011	N(eigen,mv)	191	Nieuwenhuizens  Ahoyhallen  Olympische  Wild  Papa's	znw eigennaam meervoud	
012	N(eigen,ev,gen)	396	gods  Mia's  Moorsom's  Marie's  Brams	znw eigennaam genitief	
016	?	1	beperkt	znw eigennaam comparatief overige buiging	
020	N(soort,ev,e-prenom,stan)	103	research  avant-garde  haute  sex  and	znw adjectivisch basisvorm	
021	N(soort,mv,e-prenom)	3	mijls  Dames  N.S.B.ers	znw adjectivisch meervoud	
023	?	1	sodemieterse	znw adjectivisch overige buiging	
080	N(soort,ev,e-interj,stan)	28	christus  help  God  Mina	znw interjectivisch basisvorm	
081	?	1	mensen	znw interjectivisch meervoud	
090	SPEC(meta)	235	paap  sanering  admiraal  verbonden-zijn  proskunesis	znw zelfnoemfunctie basisvorm	Dit zijn in de corpusconcordanties lang niet allemaal nomina, moet dus consistenter SPEC(meta) worden
100	ADJ(gewoon,basis,zonder)	3605	soeverein  glazen  prominent  breed  fiks	bnw gewoon (predicatief of attributief) basisvorm	“Gewoon” lijkt te staan voor attributief of predicatief
102	ADJ(postnom,basis,met-s)	103	stelligs  extra's  ruziezoekerigs  moois  blijmoedigs	bnw gewoon (predicatief of attributief) genitief	
103	ADJ(prenom,basis,met-e)	4466	bekakte  conventionele  Leeuwardense  journalistieke  oorspronkelijke	bnw gewoon (predicatief of attributief) overige buiging	
104	ADJ(gewoon,comp,zonder)	365	zuiniger  voordeliger  dikker  onhandelbaarder  langzamer	bnw gewoon (predicatief of attributief) comparatief onverbogen	
105	ADJ(postnom,comp,met-s)	5	pittigers  ondergeschikt  zinnigers  beters	bnw gewoon (predicatief of attributief) comparatief genitief	
