BaB-nr	wijziging aan te brengen IvNT
1154	1e foto (adres) 180 roteren; 2e foto (brief) links roteren
1146	1e foto 180 roteren (adres)
1705	1e foto 180 roteren (adres); huidige 1e foto toevoegen als 3e foto
1426	1e foto 180 roteren (adres); huidige 1e foto toevoegen als 3e foto
1458	1e foto 180 roteren (adres); huidige 1e foto toevoegen als 5e foto
1422	1e foto handhaven (adres), maar opnieuw toevoegen rechts geroteerd als 3e foto
844	1e foto links roteren (adres)
845	1e foto links roteren (adres)
1153	1e foto links roteren (adres)
1878	1e foto links roteren (adres); huidige 1e foto toevoegen als 3e foto
845	1e foto links roteren (adres); huidige 1e foto toevoegen als 3e foto
1835	1e foto links roteren (adres); huidige 1e foto toevoegen als 3e foto
1155	1e foto links roteren (adres); huidige 1e foto toevoegen als 3e foto
1182	1e foto links roteren (adres); huidige 1e foto toevoegen als 3e foto
2100	1e foto rechts roteren (adres)
1506	1e foto rechts roteren (adres); huidige 1e foto toevoegen als 3e foto
1804	1e foto rechts roteren (adres); huidige 1e foto toevoegen als 3e foto
2273	1e foto rechts roteren (adres); huidige 1e foto toevoegen als 3e foto
1910	2e foto (brief) ontbreekt; dat moet de eerder aangeleverde foto 15-06-2009 163 zijn
1139	2e foto (brief) rechts roteren
1728	2e foto (brief) rechts roteren
1570	2e foto nog een keer opnemen als 3e foto nu links geroteerd (tekst in marge)
1920	2e foto rechts roteren (brief)
1477	2e foto rechts roteren (brief); huidige 2e foto handhaven als 3e foto
104	2e foto rechts roteren (brief); huidige 2e foto handhaven als 3e foto
1769	2e foto rechts roteren (brief); huidige 2e foto handhaven als 3e foto (tekst in marge)
1820	3e foto rechts roteren
1476	2e foto is onzichtbaar. Dat moet de niet geleverde 06-01-2010 522 zijn (gaat hierbij); die 2e foto moet ook nog rechts geroteerd worden (tekst in marge) 3e foto (gaat hierbij) 
	N.B.  De geleverde 06-01-2010 520 (en 06-01-2010 521) zijn niet correcte foto's van dezelfde brief
2029	foto 3 moet foto 2 worden; na  brief  moet foto 3 links geroteerd foto 4 worden
759	2e foto herhalen links geroteerd (vanwege tekst marge) als foto 3
2049	2e foto (adres) links roteren
1657	1e foto links roteren
1521	2e foto rechts roteren; huidige 2e foto wordt 3e foto (tekst in marge)
1545	2e foto links geroteerd moet foto 3 worden (vanwege tekst in marge)
2121	1e foto links roteren (vanwege tekst in marge) wordt als foto 2 ingevoegd
2119	1e foto links roteren (vanwege tekst in marge) wordt als foto 2 ingevoegd
1514	1e foto links roteren (adres)
2170	1e foto links roteren (vanwege tekst in marge) wordt als foto 2 ingevoegd
991	1e foto 180 roteren (adres); huidige 1e foto toevoegen als 3e foto
1548	2e foto links roteren (vanweg tekst in marge) en zo invoegen als foto 3
1172	1e en 2e foto allebei links roteren
1291	2e foto rechts roteren (brief); huidige 2e foto handhaven als 3e foto (tekst in marge)
2296	1e foto 180 roteren en toevoegen als 3e foto
86	1e foto 180 roteren (adres) en invoegen als foto 2; huidige 3e foto moet laatste foto worden; 
86	huidige 4e foto moet voorlaatste foto worden en ook moet die rechts geroteerd nogmaals na nieuwe foto 3 geplaatst worden
1568	2e foto (adres) moet 1e foto worden; 3e foto moet nieuwe 2e foto worden en ook links geroteerd de nieuwe foto 3; 
1568	1e foto wordt nieuwe foto 4 en geroteerd nieuwe foto 5
2373	1e foto rechts roteren (adres)
2378	3e foto links roteren en invoegen als foto 4
2377	1e foto links roteren en invoegen als foto2, huidige laatste foto rechts roteren en invoegen als voorlaatste foto
2363	2e foto rechts roteren en invoegen als nieuwe foto 2; huidige foto2 wordt foto3
2365	2e foto rechts roteren en invoegen als nieuwe foto 2; huidige foto2 wordt foto3
2366	laatste foto links roteren en invoegen als nieuwe laatste foto
2364	1e foto rechts roteren (adres)
2367	laatste foto links roteren (vanwege tekst marge) en invoegen als nieuwe laatste foto
5	1e foto links roteren, 2e foto rechts roteren
1578	3e foto links roteren
1626	1e en 2e foto links roteren
1627	2e foto links roteren
1624	1e foto links roteren (adres)
1000	1e foto 180 roteren en als nieuwe foto 2 invoegen
2361	foto 2, 3 en 4 rechts roteren
1265	foto 2 moet laatste foto worden en daarna nog een keer 180 geroteerd toevoegen
1512	foto 2 (met hand) verwijderen
1502	alle foto's ontbreken, moeten de volgende zijn: 06-01-2010 541, 06-01-2010 543, 06-01-2010 544, 06-01-2010 545, 06-01-2010 545A. Hierbij aangeleverd, met de betreffende textfile 
1710	2e foto links roteren en invoegen als 3e foto
1632	3e foto links roteren
1616	2e en 3e foto links roteren
1617	2e en 3e foto links roteren; 4e foto ontbreekt, is de al eerder aangeleverde foto 07-01-2010 172 die ook links geroteerd moet worden
79	alle foto's rechts roteren
1622	2e foto links roteren (vanwege tekst marge) en als 3e foto invoegen; 1e foto herhalen als 4e foto
1623	1e en 2e foto links roteren
1629	alle foto's links roteren en laatste foto 180 geroteerd invoegen
1520	alle foto's links roteren
1519	alle foto's links roteren
